UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
169,May 10 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
170,May 09 2015,DOG,Siberian Husky,14,M,TRUE,Brooklyn,11231,SIBERIAN HUSKY,,,,,,
171,May 09 2015,DOG,PIT BULL MIX,5,F,TRUE,Brooklyn,11208,PIT BULL MIX,,,,,,
172,May 01 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
173,May 03 2015,DOG,Pit Bull,,F,FALSE,Brooklyn,11231,PIT BULL,,,,,,
174,May 07 2015,DOG,Australian Shepherd,5,M,TRUE,Brooklyn,11238,AUSTRALIAN SHEPHERD,,,,,,
175,May 09 2015,DOG,Pit Bull,8,M,TRUE,Brooklyn,11219,PIT BULL,,,,,,
176,May 11 2015,DOG,Pit Bull,2,F,FALSE,Brooklyn,11218,PIT BULL,,,,,,
177,April 25 2015,DOG,Shih Tzu,4,M,TRUE,Brooklyn,11226,SHIH TZU,,,,,,
178,May 03 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11235,PIT BULL,,,,,,
179,May 10 2015,DOG,PIT BULL MIX,3,F,FALSE,Brooklyn,,PIT BULL MIX,,,,,,
180,May 12 2015,DOG,PIT BULL MIX,5,M,TRUE,Brooklyn,11213,PIT BULL MIX,,,,,,
181,May 12 2015,DOG,Bloodhound,4,M,TRUE,Brooklyn,11231,BLOODHOUND,,,,,,
182,May 12 2015,DOG,Jack Russ,10,M,TRUE,Brooklyn,11215,JACK RUSS,,,,,,
183,May 14 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11211,PIT BULL,,,,,,
184,May 14 2015,DOG,"Cocker Spaniel, American",10,M,TRUE,Brooklyn,11220,"COCKER SPANIEL, AMERICAN",,,,,,
186,May 14 2015,DOG,Pit Bull,6,M,FALSE,Brooklyn,11232,PIT BULL,,,,,,
187,May 12 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
188,April 28 2015,DOG,PIT BULL MIX,1,M,TRUE,Brooklyn,11234,PIT BULL MIX,,,,,,
189,May 15 2015,DOG,Cocker Spaniel MIX,,M,FALSE,Brooklyn,11205,COCKER SPANIEL MIX,,,,,,
190,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
191,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
192,January 08 2015,DOG,Pit Bull,1,M,TRUE,Brooklyn,11224,PIT BULL,,,,,,
193,May 12 2015,DOG,Cane Corso,5,F,TRUE,Brooklyn,11233,CANE CORSO,,,,,,
194,May 05 2015,DOG,TERRIER,,U,FALSE,Brooklyn,,TERRIER,,,,,,
195,May 16 2015,DOG,BORDER COLLIE/JACK RUSSELL,11M,F,TRUE,Brooklyn,,BORDER COLLIE/JACK RUSSELL,,,,,,
196,May 06 2015,DOG,CORGI,,M,FALSE,Brooklyn,11222,CORGI,,,,,,
197,May 21 2015,DOG,Shih Tzu,,U,FALSE,Brooklyn,11229,SHIH TZU,,,,,,
198,May 20 2015,DOG,MUTT,1,F,TRUE,Brooklyn,11201,MUTT,,,,,,
199,May 24 2015,DOG,MIXED/UNKNOWN,2,M,TRUE,Brooklyn,,MIXED/UNKNOWN,,,,,,
200,May 24 2015,DOG,PIT BULL MIX,2,F,FALSE,Brooklyn,11236,PIT BULL MIX,,,,,,
201,May 24 2015,DOG,PIT BULL MIX,2,F,FALSE,Brooklyn,11236,PIT BULL MIX,,,,,,
202,May 24 2015,DOG,Labrador Retriever,,U,FALSE,Brooklyn,11215,LABRADOR RETRIEVER,,,,,,
203,May 25 2015,DOG,Labrador Retriever,3,F,FALSE,Brooklyn,11234,LABRADOR RETRIEVER,,,,,,
204,May 25 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
205,May 23 2015,DOG,"Mastiff, Tibetan",1,M,TRUE,Brooklyn,11214,"MASTIFF, TIBETAN",,,,,,
206,May 23 2015,DOG,MALTESE MIX,4,M,TRUE,Brooklyn,,MALTESE MIX,,,,,,
207,May 24 2015,DOG,SCHNAUZER,,M,FALSE,Brooklyn,11215,SCHNAUZER,,,,,,
208,May 28 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11237,PIT BULL,,,,,,
209,May 24 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11221,PIT BULL,,,,,,
210,May 23 2015,DOG,PIT BULL MIX,6,M,TRUE,Brooklyn,11205,PIT BULL MIX,,,,,,
211,May 28 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11213,PIT BULL,,,,,,
212,May 28 2015,DOG,PIT BULL MIX,3,M,FALSE,Brooklyn,11236,PIT BULL MIX,,,,,,
213,May 26 2015,DOG,Saint Bernard,,U,FALSE,Brooklyn,11214,SAINT BERNARD,,,,,,
214,May 28 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,11208,CHIHUAHUA,,,,,,
215,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224,WEST HIGH WHITE TERRIER,,,,,,
216,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224,WEST HIGH WHITE TERRIER,,,,,,
217,May 31 2015,DOG,Chihuahua,1,M,FALSE,Brooklyn,11207,CHIHUAHUA,,,,,,
218,May 30 2015,DOG,"Collie, Border",,U,FALSE,Brooklyn,11211,"COLLIE, BORDER",,,,,,
219,May 29 2015,DOG,LABRADOR RETRIEVER MIX,8,F,TRUE,Brooklyn,11229,LABRADOR RETRIEVER MIX,,,,,,
220,May 31 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
221,June 01 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11207,PIT BULL,,,,,,
222,June 02 2015,DOG,Chow Chow,1,M,FALSE,Brooklyn,11233,CHOW CHOW,,,,,,
223,June 02 2015,DOG,Doberman Pinscher,7,M,TRUE,Brooklyn,11228,DOBERMAN PINSCHER,,,,,,
224,June 01 2015,DOG,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217,YORKSHIRE TERRIER,,,,,,
225,May 27 2015,DOG,TEACUP YORKIE,,U,FALSE,Brooklyn,,TEACUP YORKIE,,,,,,
226,June 03 2015,DOG,SHORKY,8,M,TRUE,Brooklyn,11238,SHORKY,,,,,,
227,May 31 2015,DOG,HAVANESE MIX,4,M,TRUE,Brooklyn,11236,HAVANESE MIX,,,,,,
228,May 27 2015,DOG,BLUE HEELER MIX,9,M,TRUE,Brooklyn,11237,BLUE HEELER MIX,,,,,,
229,June 04 2015,DOG,Pit Bull,3,F,TRUE,Brooklyn,11226,PIT BULL,,,,,,
